Date,Alarm,BridgeSpeedFeedback,HoistMotorTorque,BridgePosition,BridgeRopeAngle,BridgeMotorTorque,HoistSpeedFeedback,LoadTare,HoistPosition,TrolleyMotorTorque,TrolleySpeedFeedback,TrolleyPosition,TrolleyRopeAngle,Cycle
2103-09-03 15:27:13+00:00,0,0.0,0.0,16.575,0.00273705,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:13.250000+00:00,0,0.0,0.0,16.575,0.00273705,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:13.500000+00:00,0,0.0,0.0,16.575,0.00273705,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:13.750000+00:00,0,0.0,0.0,16.575,0.00273705,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:14+00:00,0,0.0,0.0,16.575,0.00273705,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:14.250000+00:00,0,0.0,0.0,16.575,0.00273705,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:14.500000+00:00,0,0.0,0.0,16.575,0.00273705,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:14.750000+00:00,0,0.0,0.0,16.575,0.00273705,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:15+00:00,0,0.0,0.0,16.575,0.00273705,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:15.250000+00:00,0,0.0,0.0,16.575,0.00273705,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:15.500000+00:00,0,0.0,0.0,16.575,0.00273705,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:15.750000+00:00,0,0.0,0.0,16.575,0.00273705,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:16+00:00,0,0.0,0.0,16.575,0.00273705,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:16.250000+00:00,0,0.0,0.0,16.575,0.00272144,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:16.500000+00:00,0,0.0,0.0,16.575,0.00159205,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:16.750000+00:00,0,0.0,0.0,16.576,0.00179025,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:17+00:00,0,0.0,0.0,16.576,0.00226231,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:17.250000+00:00,0,0.0,0.0,16.576,0.00172375,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:17.500000+00:00,0,0.0,0.0,16.576,0.00172375,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:17.750000+00:00,0,0.0,0.0,16.576,0.00131609,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:18+00:00,0,0.0,0.0,16.576,0.0017084,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:18.250000+00:00,0,0.0,0.0,16.575,0.00146221,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:18.500000+00:00,0,0.0,0.0,16.576,0.00131108,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:18.750000+00:00,0,0.0,0.0,16.576,0.00188359,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:19+00:00,0,0.0,0.0,16.576,0.00188359,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:19.250000+00:00,0,0.0,0.0,16.575,0.00204049,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:19.500000+00:00,0,0.0,0.0,16.575,0.00238549,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:19.750000+00:00,0,0.0,0.0,16.576,0.00238378,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:20+00:00,0,0.0,0.0,16.576,0.00238378,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:20.250000+00:00,0,0.0,0.0,16.576,0.00197477,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:20.500000+00:00,0,0.0,0.0,16.576,0.00222285,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:20.750000+00:00,1,0.0,0.0,16.576,0.00147317,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:21+00:00,0,0.0,0.0,16.576,0.00147317,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:21.250000+00:00,0,0.0,0.0,16.576,0.00172488,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:21.500000+00:00,0,0.0,0.0,16.575,0.00144283,0.0,0.0,-0.05,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:21.750000+00:00,0,0.0,0.0,16.576,0.00134156,0.0,0.0,-0.05,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:22+00:00,0,0.0,0.0,16.576,0.00166172,0.0,0.0,-0.05,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:22.250000+00:00,0,0.0,0.0,16.575,0.00302538,0.0,0.0,-0.05,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:22.500000+00:00,0,0.0,0.0,16.575,0.00302538,0.0,0.0,-0.05,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:22.750000+00:00,0,0.0,0.0,16.576,0.00186203,0.0,0.0,-0.05,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:23+00:00,0,0.0,0.0,16.576,0.00228901,0.0,0.0,-0.05,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:23.250000+00:00,0,0.0,0.0,16.576,0.00282146,0.0,0.0,-0.05,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:23.500000+00:00,0,0.0,0.0,16.575,0.00207984,0.0,0.0,-0.05,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:23.750000+00:00,0,0.0,0.0,16.575,0.00180388,0.0,0.0,-0.05,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:24+00:00,1,0.0,0.0,16.575,0.00180388,0.0,0.0,-0.05,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:24.250000+00:00,0,0.0,0.0,16.576,0.00169333,0.0,0.0,-0.05,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:24.500000+00:00,0,0.0,0.0,16.576,0.0017366,0.0,0.0,-0.05,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:24.750000+00:00,0,0.0,0.0,16.575,0.00175797,0.0,0.0,-0.05,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:25+00:00,0,0.0,0.0,16.575,0.0021813,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:25.250000+00:00,0,0.0,0.0,16.576,0.0008364539999999999,0.0,0.0,-0.05,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:25.500000+00:00,0,0.0,0.0,16.576,0.0008364539999999999,0.0,0.0,-0.05,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:25.750000+00:00,0,0.0,0.0,16.575,0.00162601,0.0,0.0,-0.05,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:26+00:00,0,0.0,0.0,16.576,0.00244064,0.0,0.0,-0.05,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:26.250000+00:00,0,0.0,0.0,16.575,0.00256457,0.0,0.0,-0.05,0.188,0.0,0.0,1.963,0.00429468,1
2103-09-03 15:27:26.500000+00:00,0,0.0,0.0,16.575,0.00224086,0.0,0.0,-0.04,0.188,0.0,0.0,1.963,0.00429468,1
